CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;117
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;117
LineMandelCalculator;512;1536;1024;100;49
RefMandelCalculator;1024;3072;2048;100;468
LineMandelCalculator;512;1536;1024;100;49
RefMandelCalculator;1024;3072;2048;100;468
RefMandelCalculator;1024;3072;2048;100;468
LineMandelCalculator;512;1536;1024;100;49
LineMandelCalculator;1024;3072;2048;100;196
BatchMandelCalculator;512;1536;1024;100;53
BatchMandelCalculator;512;1536;1024;100;53
BatchMandelCalculator;512;1536;1024;100;53
LineMandelCalculator;1024;3072;2048;100;196
RefMandelCalculator;2048;6144;4096;100;1867
RefMandelCalculator;2048;6144;4096;100;1867
LineMandelCalculator;2048;6144;4096;100;826
LineMandelCalculator;1024;3072;2048;100;196
RefMandelCalculator;2048;6144;4096;100;1866
BatchMandelCalculator;1024;3072;2048;100;216
BatchMandelCalculator;1024;3072;2048;100;216
BatchMandelCalculator;1024;3072;2048;100;216
LineMandelCalculator;2048;6144;4096;100;821
RefMandelCalculator;4096;12288;8192;100;7450
RefMandelCalculator;4096;12288;8192;100;7449
LineMandelCalculator;4096;12288;8192;100;3255
LineMandelCalculator;2048;6144;4096;100;1138
RefMandelCalculator;4096;12288;8192;100;7447
BatchMandelCalculator;2048;6144;4096;100;877
BatchMandelCalculator;2048;6144;4096;100;877
BatchMandelCalculator;2048;6144;4096;100;877
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;4096;12288;8192;100;3254
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;459
LineMandelCalculator;4096;12288;8192;100;3259
BatchMandelCalculator;4096;12288;8192;100;3500
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;4096;12288;8192;100;3494
BatchMandelCalculator;4096;12288;8192;100;3496
RefMandelCalculator;1024;3072;2048;1000;4168
LineMandelCalculator;512;1536;1024;1000;459
RefMandelCalculator;1024;3072;2048;1000;4165
LineMandelCalculator;1024;3072;2048;1000;1874
BatchMandelCalculator;512;1536;1024;1000;510
LineMandelCalculator;512;1536;1024;1000;459
RefMandelCalculator;1024;3072;2048;1000;4166
BatchMandelCalculator;512;1536;1024;1000;509
BatchMandelCalculator;512;1536;1024;1000;509
RefMandelCalculator;2048;6144;4096;1000;16670
LineMandelCalculator;1024;3072;2048;1000;1874
LineMandelCalculator;2048;6144;4096;1000;7929
RefMandelCalculator;2048;6144;4096;1000;16663
BatchMandelCalculator;1024;3072;2048;1000;2088
LineMandelCalculator;1024;3072;2048;1000;1873
BatchMandelCalculator;1024;3072;2048;1000;2082
RefMandelCalculator;2048;6144;4096;1000;16660
BatchMandelCalculator;1024;3072;2048;1000;2090
RefMandelCalculator;4096;12288;8192;1000;66629
LineMandelCalculator;2048;6144;4096;1000;7891
LineMandelCalculator;4096;12288;8192;1000;31408
BatchMandelCalculator;2048;6144;4096;1000;8475
RefMandelCalculator;4096;12288;8192;1000;66632
LineMandelCalculator;2048;6144;4096;1000;7883
RefMandelCalculator;4096;12288;8192;1000;66655
BatchMandelCalculator;2048;6144;4096;1000;8487
BatchMandelCalculator;2048;6144;4096;1000;8476
LineMandelCalculator;4096;12288;8192;1000;31300
BatchMandelCalculator;4096;12288;8192;1000;33760
LineMandelCalculator;4096;12288;8192;1000;31387
BatchMandelCalculator;4096;12288;8192;1000;33768
BatchMandelCalculator;4096;12288;8192;1000;33791
